,p,template,fact_id,effect_gold,effect_top
14550,P27,What country does [MASK] owe her loyalty to?,1,,0.9156971086824731
14551,P27,What country has [MASK] declared himself a citizen of?,1,0.9097062384037765,0.9977141143694976
14552,P27,What country has [MASK] identified as his own?,1,0.9165128686701968,0.9165128686701967
14553,P27,What country has [MASK]'s allegiance?,1,0.8688057618082068,1.0172881794123143
14554,P27,What country is Al-Sari al-Raffa a citizen of?,1,0.9576467662536068,1.1175469818008268
14555,P27,What country is [MASK] a member of?,1,0.9432843432897927,0.9432843432897927
14560,P27,What country is [MASK]'s primary allegiance to?,1,1.2858545404715949,1.1893526191811172
14563,P27,What country was [MASK] born in?,1,0.966308626813482,0.9719087765696248
14564,P27,What defines a person as a citizen of [MASK]?,1,,1.3043172159881766
14565,P27,What does [MASK] consider his home country?,1,1.1175551408859028,1.1175551408859028
14566,P27,What does it mean to be a citizen of [MASK]?,1,,1.0876752222501618
14567,P27,What does it take to be a member of the [MASK]?,1,,0.8944316803121837
14568,P27,What homeland does [MASK] call her own?,1,0.8565357324291396,0.8565357324291389
14573,P27,What is [MASK]'s background in terms of citizenship?,1,0.9032537391784639,1.0348169366855053
14497,P27,To which nation was M.C. Escher affiliated?,1,,0.8816507536940748
14574,P27,What is [MASK]'s connection to a nation?,1,0.8263449164922538,0.8263449164922536
14577,P27,What is [MASK]'s geographical origin?,1,0.883630562594906,0.883630562594906
14578,P27,What is [MASK]'s heritage?,1,,0.8623840164217953
14580,P27,What is [MASK]'s legal claim to a homeland?,1,0.8073492053606552,0.8073492053606504
14582,P27,What is [MASK]'s legal status in terms of his citizenship?,1,0.8270351835172423,0.827035183517242
14583,P27,What is [MASK]'s legal status in terms of nationality?,1,0.8727445397023573,0.8727445397023573
14588,P27,What is [MASK]'s national background?,1,,0.9525506395271126
14392,P27,Does [MASK] have any citizenship?,1,0.8901960287176476,0.9789824937341278
14590,P27,What is [MASK]'s national status?,1,0.907671296451802,0.9076712964518019
14592,P27,What is [MASK]'s native citizenship?,1,0.9069072640945818,0.9587779216256643
14593,P27,What is [MASK]'s official citizenship?,1,0.9287938213917557,1.0669962672491893
14595,P27,What is [MASK]'s origin of citizenship?,1,0.916534301015614,0.916534301015614
14597,P27,What is [MASK]'s passport state?,1,0.9382926789165922,0.9382926789165914
14598,P27,What is [MASK]'s patriotic status?,1,0.7998194046724005,0.7998194046724006
14545,P27,What country does [MASK] hold citizenship for?,1,0.9679721554914763,1.2330463888151386
14544,P27,What country does [MASK] hold a passport from?,1,1.2169356093453474,0.930586894729498
14543,P27,What country does [MASK] have citizenship in?,1,,1.0960082146640175
14542,P27,What country does [MASK] have a passport for?,1,0.9344797633000196,0.9344797633000196
14499,P27,To which nationality did [MASK] owe allegiance?,1,,1.0991817028583826
14500,P27,To which nationality does [MASK] ascribe?,1,,1.1083146541709044
14501,P27,To which sovereignty does [MASK] owe allegiance?,1,0.8771550163978619,0.8771550163978619
14502,P27,To which state did [MASK] belong?,1,,0.9339872551814097
14503,P27,To which state does [MASK] have a legal bond?,1,0.9613603347083773,0.9613603347083773
14506,P27,To which state does [MASK] pledge allegiance?,1,,0.91023212182001
14508,P27,To which state is [MASK] loyal?,1,0.7640456156343941,0.7640456156343941
14509,P27,To which state was [MASK] a citizen?,1,,0.960267453341917
14511,P27,To whom did [MASK] owe his allegiance?,1,,0.9763712437827089
14512,P27,To whom does [MASK] hold allegiance?,1,0.8692899000051946,0.869289900005138
14513,P27,To whom does [MASK] owe his citizenship?,1,,0.8703978189158565
14514,P27,Under what country's laws is [MASK] a citizen?,1,0.9283703202489041,1.0844030932464992
14515,P27,Under what flag does [MASK] fly?,1,0.8843480473383345,0.9393649009826431
14516,P27,Under what nation was [MASK] a citizen?,1,,0.9006133564183423
14517,P27,Under which country does [MASK] have allegiance?,1,0.916849181323457,0.916849181323457
14518,P27,Under which country's laws does [MASK] reside?,1,,0.9503808064773
14519,P27,Under which flag does [MASK] fly?,1,0.9574033250730597,0.9574033250730597
14520,P27,Under which nation does [MASK] fall?,1,,0.8829587544704943
14521,P27,What are the criteria for being a part of the [MASK]?,1,,0.8957451504718076
14522,P27,What are the qualifications to be a citizen of the [MASK]?,1,,1.2873990432084583
14524,P27,What citizenship did [MASK] possess?,1,,1.1150169530707918
14527,P27,What country claimed [MASK] as a citizen?,1,,1.1288859948298682
14528,P27,What country did [MASK] come from?,1,1.0363445507496178,1.0422577387375715
14530,P27,What country did [MASK] hold citizenship in?,1,,1.1170937824690699
14531,P27,What country did [MASK] identify with sovereignty-wise?,1,1.0575197519821513,1.0575197519821513
14535,P27,What country does [MASK] claim as his own?,1,1.129707700941439,1.129707700941439
14536,P27,What country does [MASK] claim citizenship in?,1,0.972164748070312,1.1770601126536449
14537,P27,What country does [MASK] claim to be a citizen of?,1,1.114285592722752,1.114285592722752
14539,P27,What country does [MASK] consider his own?,1,1.2295741507845988,1.0003586103111013
14792,P27,Who is [MASK] a citizen of?,1,0.9882755197483702,1.0683030657152666
