,s,p,o,type,ss,os,obj_len_3b,obj_len_sm,prompt
952,Q27713606,P407,Q9035,train,Tidsskrift for sygeplejersker,Danish,2,2,What language does Tidsskrift for sygeplejersker use?
953,Q5646565,P407,Q9176,train,Han,Korean,2,2,What language does Han use?
954,Q104614957,P407,Q1860,train,Journal of Chemical Information and Computer Sciences,English,2,2,What language does Journal of Chemical Information and Computer Sciences use?
955,Q11682369,P407,Q188,train,Heinz,German,2,2,What language does Heinz use?
956,Q15751590,P407,Q20923490,train,Acta Arachnologica,multiple languages,3,3,What language does Acta Arachnologica use?
957,Q15727982,P407,Q150,train,Étienne,French,2,2,What language does Étienne use?
958,Q1193018,P407,Q7411,train,Denise,Dutch,2,2,What language does Denise use?
959,Q1330587,P407,Q652,train,Elisabetta,Italian,2,2,What language does Elisabetta use?
960,Q1134877,P407,Q7850,train,Lù,Chinese,2,2,What language does Lù use?
961,Q15746074,P407,Q1321,train,Actas Dermo-Sifiliográficas,Spanish,2,2,What language does Actas Dermo-Sifiliográficas use?
962,Q15767401,P407,Q7737,train,Mikrobiologija,Russian,2,2,What language does Mikrobiologija use?
963,Q15757525,P407,Q5287,train,Acta Urologica Japonica,Japanese,2,2,What language does Acta Urologica Japonica use?
964,Q15720963,P407,Q809,train,Ryszard,Polish,2,2,What language does Ryszard use?
965,Q1689666,P407,Q9056,train,Jitka,Czech,2,2,What language does Jitka use?
966,Q1795260,P407,Q9067,train,Károly,Hungarian,4,4,What language does Károly use?
967,Q19801238,P407,Q5146,train,Luís,Portuguese,2,2,What language does Luís use?
968,Q19803504,P407,Q9027,train,G.,Swedish,2,2,What language does G. use?
969,Q27713048,P407,Q7913,train,"Revista de chirurgie, oncologie, radiologie, o.r.l., oftalmologie, stomatologie. Oto-rino-laringologia",Romanian,3,3,"What language does Revista de chirurgie, oncologie, radiologie, o.r.l., oftalmologie, stomatologie. Oto-rino-laringologia use?"
970,Q4413537,P407,Q1412,train,Hannu,Finnish,2,2,What language does Hannu use?
971,Q28308904,P407,Q9035,train,Studies in Modern Danish,Danish,2,2,What language does Studies in Modern Danish use?
972,Q6502838,P407,Q9176,train,Jo,Korean,2,2,What language does Jo use?
973,Q104670433,P407,Q1860,train,"Notes, outline and divergence times of Basidiomycota",English,2,2,"What language does Notes, outline and divergence times of Basidiomycota use?"
974,Q11703653,P407,Q188,train,Schneider,German,2,2,What language does Schneider use?
975,Q15752565,P407,Q20923490,train,Amphibia-Reptilia,multiple languages,3,3,What language does Amphibia-Reptilia use?
976,Q15749105,P407,Q150,train,Journal Francais d'Ophtalmologie,French,2,2,What language does Journal Francais d'Ophtalmologie use?
977,Q1237447,P407,Q7411,train,Pieter,Dutch,2,2,What language does Pieter use?
978,Q1407594,P407,Q652,train,Ferrari,Italian,2,2,What language does Ferrari use?
979,Q13414894,P407,Q7850,train,"Literature, History, and Philosophy",Chinese,2,2,"What language does Literature, History, and Philosophy use?"
980,Q15759869,P407,Q1321,train,Anales de Medicina Interna,Spanish,2,2,What language does Anales de Medicina Interna use?
981,Q1688617,P407,Q7737,train,Yevgeny,Russian,2,2,What language does Yevgeny use?
982,Q15985375,P407,Q5287,train,Katō,Japanese,2,2,What language does Katō use?
983,Q15731812,P407,Q809,train,Ewa,Polish,2,2,What language does Ewa use?
984,Q16909101,P407,Q9056,train,Jindřich,Czech,2,2,What language does Jindřich use?
985,Q18142236,P407,Q9067,train,Ferenc,Hungarian,4,4,What language does Ferenc use?
986,Q21510337,P407,Q5146,train,Fernandes,Portuguese,2,2,What language does Fernandes use?
987,Q19803505,P407,Q9027,train,H.,Swedish,2,2,What language does H. use?
988,Q27713139,P407,Q7913,train,"Revista de igiena, bacteriologie, virusologie, parazitologie, epidemiologie, pneumoftiziologie. Bacteriologia, virusologia, parazitologia, epidemiologia",Romanian,3,3,"What language does Revista de igiena, bacteriologie, virusologie, parazitologie, epidemiologie, pneumoftiziologie. Bacteriologia, virusologia, parazitologia, epidemiologia use?"
989,Q609564,P407,Q1412,train,Antti,Finnish,2,2,What language does Antti use?
990,Q28858461,P407,Q9035,train,Jørgensen,Danish,2,2,What language does Jørgensen use?
991,Q699742,P407,Q9176,train,Yu,Korean,2,2,What language does Yu use?
992,Q104670570,P407,Q1860,train,Taxonomy and phylogeny of hyaline-spored coelomycetes,English,2,2,What language does Taxonomy and phylogeny of hyaline-spored coelomycetes use?
993,Q11703657,P407,Q188,train,Schröder,German,2,2,What language does Schröder use?
994,Q15752698,P407,Q20923490,train,Minerva Endocrinologica: a journal on endocrine system diseases,multiple languages,3,3,What language does Minerva Endocrinologica: a journal on endocrine system diseases use?
995,Q15750340,P407,Q150,train,Pathologie et Biologie,French,2,2,What language does Pathologie et Biologie use?
996,Q1250282,P407,Q7411,train,Fanny,Dutch,2,2,What language does Fanny use?
997,Q14556957,P407,Q652,train,Tex,Italian,2,2,What language does Tex use?
998,Q13639281,P407,Q7850,train,Heilongjiang National Series,Chinese,2,2,What language does Heilongjiang National Series use?
999,Q15759872,P407,Q1321,train,Anales de la Real Academia Nacional de Medicina,Spanish,2,2,What language does Anales de la Real Academia Nacional de Medicina use?
1000,Q100937,P1412,Q1860,train,Fred Astaire,English,2,2,What language does Fred Astaire use?
1001,Q1036858,P1412,Q9027,train,Carl August Ehrensvärd,Swedish,2,2,What language does Carl August Ehrensvärd use?
1002,Q100469,P1412,Q188,train,Rainer Goebel,German,2,2,What language does Rainer Goebel use?
1003,Q1035323,P1412,Q150,train,Henri Blaze,French,2,2,What language does Henri Blaze use?
1004,Q101698,P1412,Q652,train,Gaetano Donizetti,Italian,2,2,What language does Gaetano Donizetti use?
1005,Q1028616,P1412,Q809,train,Jan Andrzej Morsztyn,Polish,2,2,What language does Jan Andrzej Morsztyn use?
1006,Q102078444,P1412,Q1321,train,Mariano Valdés Chávarri,Spanish,2,2,What language does Mariano Valdés Chávarri use?
1007,Q105343733,P1412,Q7737,train,Aleksandr Vasilyev,Russian,2,2,What language does Aleksandr Vasilyev use?
1008,Q102272,P1412,Q7411,train,Jan van Eyck,Dutch,2,2,What language does Jan van Eyck use?
1009,Q109067,P1412,Q9056,train,Viktor Dyk,Czech,2,2,What language does Viktor Dyk use?
1010,Q10272093,P1412,Q5146,train,Elvira Fortunato,Portuguese,2,2,What language does Elvira Fortunato use?
1011,Q108602,P1412,Q5287,train,Susumu Tonegawa,Japanese,2,2,What language does Susumu Tonegawa use?
1012,Q1058694,P1412,Q13955,train,Umar Ibn Abi Rabi'ah,Arabic,2,2,What language does Umar Ibn Abi Rabi'ah use?
1013,Q1175924,P1412,Q7850,train,Meng Jiao,Chinese,2,2,What language does Meng Jiao use?
1014,Q133704,P1412,Q397,train,Martin of Tours,Latin,2,2,What language does Martin of Tours use?
1015,Q11851325,P1412,Q9035,train,Anders Pape Møller,Danish,2,2,What language does Anders Pape Møller use?
1016,Q18701325,P1412,Q9129,train,Dimitrios Spandidos,Greek,2,2,What language does Dimitrios Spandidos use?
1017,Q108198403,P1412,Q9063,train,E. Murat Tuzcu,Slovene,4,4,What language does E. Murat Tuzcu use?
1018,Q11946332,P1412,Q7026,train,Rossend Partagàs i Lluch,Catalan,4,4,What language does Rossend Partagàs i Lluch use?
1019,Q1021828,P1412,Q37041,train,Wei Yingwu,Classical Chinese,4,4,What language does Wei Yingwu use?
1020,Q12587840,P1412,Q9176,train,Soo-Bong Kim,Korean,2,2,What language does Soo-Bong Kim use?
1021,Q126693,P1412,Q256,train,Yılmaz Güney,Turkish,2,2,What language does Yılmaz Güney use?
1022,Q185856,P1412,Q35497,train,Barnabas,Ancient Greek,3,3,What language does Barnabas use?
1023,Q14045,P1412,Q7976,train,Moby,American English,3,3,What language does Moby use?
1024,Q11787765,P1412,Q9058,train,Mária Medvecká,Slovak,4,4,What language does Mária Medvecká use?
1025,Q16150048,P1412,Q9610,train,Firdausi Qadri,Bengali,3,3,What language does Firdausi Qadri use?
1026,Q11881063,P1412,Q1412,train,Markku Kulmala,Finnish,2,2,What language does Markku Kulmala use?
1027,Q12743550,P1412,Q7913,train,Virgil Percec,Romanian,3,3,What language does Virgil Percec use?
1028,Q20513630,P1412,Q8785,train,Albert Sirunyan,Armenian,3,3,What language does Albert Sirunyan use?
1029,Q10769872,P1412,Q9199,train,Nguyễn Phúc Tĩnh Hòa,Vietnamese,2,2,What language does Nguyễn Phúc Tĩnh Hòa use?
1030,Q128267,P1412,Q28602,train,Joseph,Aramaic,4,4,What language does Joseph use?
1031,Q1474656,P1412,Q36510,train,Athens University of Economics and Business,Modern Greek,3,3,What language does Athens University of Economics and Business use?
1032,Q164735,P1412,Q9043,train,Johan Christian Dahl,Norwegian,2,2,What language does Johan Christian Dahl use?
1033,Q1686232,P1412,Q1568,train,Jeetendra,Hindi,2,2,What language does Jeetendra use?
1034,Q2735277,P1412,Q36236,train,Prem Nazir,Malayalam,5,5,What language does Prem Nazir use?
1035,Q133032,P1412,Q9067,train,Hungarians,Hungarian,4,4,What language does Hungarians use?
1036,Q3261234,P1412,Q1450506,train,Louis Bernatchez,Canadian French,3,3,What language does Louis Bernatchez use?
1037,Q2720141,P1412,Q8097,train,Ilaiyaraaja,Telugu,4,4,What language does Ilaiyaraaja use?
1038,Q4533902,P1412,Q9299,train,Stanislav George Djorgovski,Serbian,3,3,What language does Stanislav George Djorgovski use?
1039,Q10361138,P1412,Q750553,train,Ricardo Gazzinelli,Brazilian Portuguese,3,3,What language does Ricardo Gazzinelli use?
1040,Q318461,P1412,Q7918,train,Vasil Levski,Bulgarian,3,3,What language does Vasil Levski use?
1041,Q185343,P1412,Q7979,train,Mark Knopfler,British English,3,3,What language does Mark Knopfler use?
1042,Q2330985,P1412,Q9072,train,Adamson-Eric,Estonian,3,3,What language does Adamson-Eric use?
1043,Q25513876,P1412,Q9240,train,Rose Amal,Indonesian,3,3,What language does Rose Amal use?
1044,Q42891,P1412,Q11059,train,Krishna,Sanskrit,5,5,What language does Krishna use?
1045,Q7226,P1412,Q1473289,train,Joan of Arc,Middle French,3,3,What language does Joan of Arc use?
1046,Q142710,P1412,Q262,train,Roelant Savery,Algeria,2,2,What language does Roelant Savery use?
1047,Q19842902,P1412,Q294,train,Jón Atli Benediktsson,Icelandic,3,3,What language does Jón Atli Benediktsson use?
1048,Q3817714,P1412,Q33578,train,Enugu State,Igbo,5,5,What language does Enugu State use?
1049,Q5225034,P1412,Q33810,train,Mihir Das,Odia,4,4,What language does Mihir Das use?
1050,Q2825010,P1412,Q34147,train,Adriaen Collaert,Flemish,4,4,What language does Adriaen Collaert use?
1051,Q682721,P1412,Q34311,train,Osun State,Yoruba,4,4,What language does Osun State use?
1052,Q5295227,P1412,Q42365,train,Donald Truhlar,Old English,3,3,What language does Donald Truhlar use?
1053,Q19667699,P1412,Q5137,train,Hargovind Laxmishanker Trivedi,Gujarati,3,3,What language does Hargovind Laxmishanker Trivedi use?
1054,Q6124275,P1412,Q5885,train,Jaishankar,Tamil,2,2,What language does Jaishankar use?
1055,Q450340,P1412,Q6654,train,Korado Korlević,Croatian,3,3,What language does Korado Korlević use?
1056,Q706837,P1412,Q727694,train,Liu Yuxi,Standard Mandarin,3,3,What language does Liu Yuxi use?
1057,Q5580,P1412,Q837985,train,Albrecht Dürer,Middle High German,4,4,What language does Albrecht Dürer use?
1058,Q179248,P1412,Q8748,train,Albanians,Albanian,3,3,What language does Albanians use?
1059,Q22661686,P1412,Q8752,train,Alex Aranburu,Basque,3,3,What language does Alex Aranburu use?
1060,Q400122,P1412,Q8798,train,Ahatanhel Krymsky,Ukrainian,2,2,What language does Ahatanhel Krymsky use?
1061,Q483709,P1412,Q9091,train,Yakub Kolas,Belarusian,4,4,What language does Yakub Kolas use?
1062,Q467680,P1412,Q9142,train,Seán Lemass,Irish,2,2,What language does Seán Lemass use?
1063,Q16766,P1412,Q9186,train,Andy Lau,Cantonese,5,5,What language does Andy Lau use?
1064,Q15031,P1412,Q9192,train,Xi Jinping,Mandarin Chinese,3,3,What language does Xi Jinping use?
1065,Q5559617,P1412,Q9288,train,Gideon Koren,Hebrew,2,2,What language does Gideon Koren use?
1066,Q20535757,P1412,Q9307,train,Ángel Carracedo,Galician,4,4,What language does Ángel Carracedo use?
1067,Q101113389,P1412,Q1860,train,Amy E. Krambeck,English,2,2,What language does Amy E. Krambeck use?
1068,Q10578332,P1412,Q9027,train,Mathias Sundin,Swedish,2,2,What language does Mathias Sundin use?
1069,Q100824,P1412,Q188,train,Axel Meyer,German,2,2,What language does Axel Meyer use?
1070,Q103844,P1412,Q150,train,Françoise Barré-Sinoussi,French,2,2,What language does Françoise Barré-Sinoussi use?
1071,Q1033882,P1412,Q652,train,Fabio Aru,Italian,2,2,What language does Fabio Aru use?
1072,Q110379699,P1412,Q809,train,Bolesław Rutkowski,Polish,2,2,What language does Bolesław Rutkowski use?
1073,Q105228,P1412,Q1321,train,Carlos Sastre,Spanish,2,2,What language does Carlos Sastre use?
1074,Q120180,P1412,Q7737,train,Alexander III of Russia,Russian,2,2,What language does Alexander III of Russia use?
1075,Q106781790,P1412,Q7411,train,Pascal Vranckx,Dutch,2,2,What language does Pascal Vranckx use?
1076,Q1183813,P1412,Q9056,train,Jiří Orten,Czech,2,2,What language does Jiří Orten use?
1077,Q10291449,P1412,Q5146,train,Graça Raposo,Portuguese,2,2,What language does Graça Raposo use?
1078,Q11410956,P1412,Q5287,train,Tōko Furuuchi,Japanese,2,2,What language does Tōko Furuuchi use?
1079,Q1059713,P1412,Q13955,train,Khalil Mutran,Arabic,2,2,What language does Khalil Mutran use?
1080,Q1195906,P1412,Q7850,train,Gu Yanwu,Chinese,2,2,What language does Gu Yanwu use?
1081,Q140096,P1412,Q397,train,Crispijn van de Passe the Elder,Latin,2,2,What language does Crispijn van de Passe the Elder use?
1082,Q12302131,P1412,Q9035,train,Arne Astrup,Danish,2,2,What language does Arne Astrup use?
1083,Q23302720,P1412,Q9129,train,Dimitris Bertsimas,Greek,2,2,What language does Dimitris Bertsimas use?
1084,Q12803925,P1412,Q9063,train,Tatjana Avšič-Županc,Slovene,4,4,What language does Tatjana Avšič-Županc use?
1085,Q158099,P1412,Q7026,train,Antoni Tàpies,Catalan,4,4,What language does Antoni Tàpies use?
1086,Q10889254,P1412,Q37041,train,Chu Guangxi,Classical Chinese,4,4,What language does Chu Guangxi use?
1087,Q13580495,P1412,Q9176,train,BTS,Korean,2,2,What language does BTS use?
1088,Q1543084,P1412,Q256,train,Niyazi Serdar Sariciftci,Turkish,2,2,What language does Niyazi Serdar Sariciftci use?
1089,Q43423,P1412,Q35497,train,Aesop,Ancient Greek,3,3,What language does Aesop use?
1090,Q148234,P1412,Q7976,train,Edgar Rice Burroughs,American English,3,3,What language does Edgar Rice Burroughs use?
1091,Q11879336,P1412,Q9058,train,Ernest Zmeták,Slovak,4,4,What language does Ernest Zmeták use?
1092,Q3345966,P1412,Q9610,train,Ram Kinker Baij,Bengali,3,3,What language does Ram Kinker Baij use?
1093,Q16989914,P1412,Q1412,train,Lea Pulkkinen,Finnish,2,2,What language does Lea Pulkkinen use?
1094,Q24517868,P1412,Q7913,train,Mihai Netea,Romanian,3,3,What language does Mihai Netea use?
1095,Q2379692,P1412,Q8785,train,Mher Abeghyan,Armenian,3,3,What language does Mher Abeghyan use?
1096,Q10789918,P1412,Q9199,train,Nguyễn Phúc Trinh Thuận,Vietnamese,2,2,What language does Nguyễn Phúc Trinh Thuận use?
1097,Q164294,P1412,Q28602,train,Saint Anne,Aramaic,4,4,What language does Saint Anne use?
1098,Q15899053,P1412,Q36510,train,Kostas Soukoulis,Modern Greek,3,3,What language does Kostas Soukoulis use?
1099,Q1815139,P1412,Q9043,train,John Gustavsen,Norwegian,2,2,What language does John Gustavsen use?
1100,Q379157,P1412,Q1568,train,Dharmendra,Hindi,2,2,What language does Dharmendra use?
1101,Q277417,P1412,Q36236,train,Madhu,Malayalam,5,5,What language does Madhu use?
1102,Q373046,P1412,Q9067,train,Krisztián Sárneczky,Hungarian,4,4,What language does Krisztián Sárneczky use?
1103,Q3385901,P1412,Q1450506,train,Pierre Legendre,Canadian French,3,3,What language does Pierre Legendre use?
1104,Q3177812,P1412,Q8097,train,A. Sreekar Prasad,Telugu,4,4,What language does A. Sreekar Prasad use?
1105,Q54394,P1412,Q9299,train,Gordana Vunjak-Novakovic,Serbian,3,3,What language does Gordana Vunjak-Novakovic use?
1106,Q108128364,P1412,Q750553,train,Fúlvia Gonçalves,Brazilian Portuguese,3,3,What language does Fúlvia Gonçalves use?
1107,Q347118,P1412,Q7918,train,Hristo Botev,Bulgarian,3,3,What language does Hristo Botev use?
1108,Q7282400,P1412,Q7979,train,Rafal E. Dunin-Borkowski,British English,3,3,What language does Rafal E. Dunin-Borkowski use?
1109,Q609387,P1412,Q9072,train,Ants Laikmaa,Estonian,3,3,What language does Ants Laikmaa use?
1110,Q719320,P1412,Q9240,train,Tony Gunawan,Indonesian,3,3,What language does Tony Gunawan use?
1111,Q101505,P1412,Q1860,train,Deep Purple,English,2,2,What language does Deep Purple use?
1112,Q10667542,P1412,Q9027,train,Sigge Godin,Swedish,2,2,What language does Sigge Godin use?
1113,Q101493,P1412,Q188,train,Heinrich Pröhle,German,2,2,What language does Heinrich Pröhle use?
1114,Q105320,P1412,Q150,train,Berthe Morisot,French,2,2,What language does Berthe Morisot use?
1115,Q1041544,P1412,Q652,train,Carla Mancini,Italian,2,2,What language does Carla Mancini use?
1116,Q111347248,P1412,Q809,train,Gerard Jonderko,Polish,2,2,What language does Gerard Jonderko use?
1117,Q11256,P1412,Q1321,train,Fidel Castro,Spanish,2,2,What language does Fidel Castro use?
1118,Q12403403,P1412,Q7737,train,Abraham Scholom Kamenetzky,Russian,2,2,What language does Abraham Scholom Kamenetzky use?
1119,Q127564,P1412,Q7411,train,Jacques Goudstikker,Dutch,2,2,What language does Jacques Goudstikker use?
1120,Q11878467,P1412,Q9056,train,Emanuel Salomon Friedberg-Mírohorský,Czech,2,2,What language does Emanuel Salomon Friedberg-Mírohorský use?
1121,Q10330043,P1412,Q5146,train,Militão Augusto de Azevedo,Portuguese,2,2,What language does Militão Augusto de Azevedo use?
1122,Q1154170,P1412,Q5287,train,Kenji Sawada,Japanese,2,2,What language does Kenji Sawada use?
1123,Q11016588,P1412,Q13955,train,Ahmed Muharram,Arabic,2,2,What language does Ahmed Muharram use?
1124,Q1275321,P1412,Q7850,train,Wang Bo,Chinese,2,2,What language does Wang Bo use?
1125,Q1405,P1412,Q397,train,Augustus,Latin,2,2,What language does Augustus use?
1126,Q12328758,P1412,Q9035,train,Niels E. Skakkebæk,Danish,2,2,What language does Niels E. Skakkebæk use?
1127,Q24895935,P1412,Q9129,train,Vasiliki Kalogera,Greek,2,2,What language does Vasiliki Kalogera use?
1128,Q137614,P1412,Q9063,train,Simon Špilak,Slovene,4,4,What language does Simon Špilak use?
1129,Q16027968,P1412,Q7026,train,Jaume Bertranpetit,Catalan,4,4,What language does Jaume Bertranpetit use?
1130,Q10889796,P1412,Q37041,train,Yuan Jie,Classical Chinese,4,4,What language does Yuan Jie use?
1131,Q21337970,P1412,Q9176,train,Jung-Hoon Yoon,Korean,2,2,What language does Jung-Hoon Yoon use?
1132,Q4724774,P1412,Q256,train,Ali Erdemir,Turkish,2,2,What language does Ali Erdemir use?
1133,Q48305,P1412,Q35497,train,Euripides,Ancient Greek,3,3,What language does Euripides use?
1134,Q1768,P1412,Q7976,train,Ella Fitzgerald,American English,3,3,What language does Ella Fitzgerald use?
1135,Q12002045,P1412,Q9058,train,Ferdinand Hložník,Slovak,4,4,What language does Ferdinand Hložník use?
1136,Q3347343,P1412,Q9610,train,Ramprasad Sen,Bengali,3,3,What language does Ramprasad Sen use?
1137,Q236985,P1412,Q1412,train,Helene Schjerfbeck,Finnish,2,2,What language does Helene Schjerfbeck use?
1138,Q30004315,P1412,Q7913,train,Alexandra Calmy,Romanian,3,3,What language does Alexandra Calmy use?
1139,Q380797,P1412,Q8785,train,Hovhannes Tumanyan,Armenian,3,3,What language does Hovhannes Tumanyan use?
1140,Q13636769,P1412,Q9199,train,Nguyễn Phúc Vĩnh Trinh,Vietnamese,2,2,What language does Nguyễn Phúc Vĩnh Trinh use?
1141,Q345,P1412,Q28602,train,Virgin Mary,Aramaic,4,4,What language does Virgin Mary use?
1142,Q18603730,P1412,Q36510,train,Dimitris Trichopoulos,Modern Greek,3,3,What language does Dimitris Trichopoulos use?
1143,Q365544,P1412,Q9043,train,Adolph Tidemand,Norwegian,2,2,What language does Adolph Tidemand use?
1144,Q3899724,P1412,Q1568,train,Ashok Kumar,Hindi,2,2,What language does Ashok Kumar use?
1145,Q3595596,P1412,Q36236,train,Adoor Bhasi,Malayalam,5,5,What language does Adoor Bhasi use?
1146,Q652975,P1412,Q9067,train,László Mednyánszky,Hungarian,4,4,What language does László Mednyánszky use?
1147,Q41206441,P1412,Q1450506,train,Laurence J. Kirmayer,Canadian French,3,3,What language does Laurence J. Kirmayer use?
1148,Q3765059,P1412,Q8097,train,M. M. Keeravani,Telugu,4,4,What language does M. M. Keeravani use?
1149,Q58320214,P1412,Q9299,train,Ivanka Bozovic Jelisavcic,Serbian,3,3,What language does Ivanka Bozovic Jelisavcic use?
1150,Q1022560,P1412,Q1860,train,C. Robert Cloninger,English,2,2,What language does C. Robert Cloninger use?
1151,Q10720409,P1412,Q9027,train,Wivi-Anne Cederqvist,Swedish,2,2,What language does Wivi-Anne Cederqvist use?
1152,Q102046,P1412,Q188,train,Franz Heinrich Reusch,German,2,2,What language does Franz Heinrich Reusch use?
1153,Q105487,P1412,Q150,train,Maurice Jarre,French,2,2,What language does Maurice Jarre use?
1154,Q1042465,P1412,Q652,train,Carlo Rustichelli,Italian,2,2,What language does Carlo Rustichelli use?
1155,Q11709114,P1412,Q809,train,Henryk Zbierzchowski,Polish,2,2,What language does Henryk Zbierzchowski use?
1156,Q12156396,P1412,Q1321,train,Carlos Barbero,Spanish,2,2,What language does Carlos Barbero use?
1157,Q1251704,P1412,Q7737,train,Nikolay Kulbin,Russian,2,2,What language does Nikolay Kulbin use?
1158,Q130531,P1412,Q7411,train,Hieronymus Bosch,Dutch,2,2,What language does Hieronymus Bosch use?
1159,Q12022502,P1412,Q9056,train,Jan Evangelista Nečas,Czech,2,2,What language does Jan Evangelista Nečas use?
1160,Q10366803,P1412,Q5146,train,Augusto Victorino Alves Sacramento Blake,Portuguese,2,2,What language does Augusto Victorino Alves Sacramento Blake use?
1161,Q1155641,P1412,Q5287,train,Tsunku,Japanese,2,2,What language does Tsunku use?
1162,Q1186444,P1412,Q13955,train,Abu al-Salt,Arabic,2,2,What language does Abu al-Salt use?
1163,Q1275360,P1412,Q7850,train,Zeng Gong,Chinese,2,2,What language does Zeng Gong use?
1164,Q155013,P1412,Q397,train,Heinrich Louis d'Arrest,Latin,2,2,What language does Heinrich Louis d'Arrest use?
1165,Q12328808,P1412,Q9035,train,Niels Høiby,Danish,2,2,What language does Niels Høiby use?
1166,Q26338766,P1412,Q9129,train,Athanasios Dimopoulos,Greek,2,2,What language does Athanasios Dimopoulos use?
1167,Q21062142,P1412,Q9063,train,Matjaž Perc,Slovene,4,4,What language does Matjaž Perc use?
1168,Q1882575,P1412,Q7026,train,Pedro Brugada,Catalan,4,4,What language does Pedro Brugada use?
1169,Q1133548,P1412,Q37041,train,Qian Qi,Classical Chinese,4,4,What language does Qian Qi use?
1170,Q265160,P1412,Q9176,train,Lee Hyo-jung,Korean,2,2,What language does Lee Hyo-jung use?
1171,Q6033455,P1412,Q256,train,Gökhan Hotamışlıgil,Turkish,2,2,What language does Gökhan Hotamışlıgil use?
1172,Q6691,P1412,Q35497,train,Homer,Ancient Greek,3,3,What language does Homer use?
1173,Q2695156,P1412,Q7976,train,Batman,American English,3,3,What language does Batman use?
1174,Q12771695,P1412,Q9058,train,Milan Thomka Mitrovský,Slovak,4,4,What language does Milan Thomka Mitrovský use?
1175,Q3348980,P1412,Q9610,train,Nandalal Bose,Bengali,3,3,What language does Nandalal Bose use?
1176,Q320590,P1412,Q1412,train,Kalervo Palsa,Finnish,2,2,What language does Kalervo Palsa use?
1177,Q315132,P1412,Q7913,train,Ion Luca Caragiale,Romanian,3,3,What language does Ion Luca Caragiale use?
1178,Q4446492,P1412,Q8785,train,Vardges Sureniants,Armenian,3,3,What language does Vardges Sureniants use?
1179,Q14617489,P1412,Q9199,train,Nguyễn Phúc Lương Đức,Vietnamese,2,2,What language does Nguyễn Phúc Lương Đức use?
1180,Q40662,P1412,Q28602,train,John the Baptist,Aramaic,4,4,What language does John the Baptist use?
1181,Q7024933,P1412,Q36510,train,Nikolaos A. Peppas,Modern Greek,3,3,What language does Nikolaos A. Peppas use?
1182,Q525092,P1412,Q9043,train,Erik Werenskiold,Norwegian,2,2,What language does Erik Werenskiold use?
1183,Q466330,P1412,Q1568,train,Meera,Hindi,2,2,What language does Meera use?
1184,Q6122250,P1412,Q36236,train,Jagathy Sreekumar,Malayalam,5,5,What language does Jagathy Sreekumar use?
1185,Q83326,P1412,Q9067,train,Béla Bartók,Hungarian,4,4,What language does Béla Bartók use?
1186,Q55723659,P1412,Q1450506,train,Benoît Lamarche,Canadian French,3,3,What language does Benoît Lamarche use?
1187,Q6749421,P1412,Q8097,train,Mani Sharma,Telugu,4,4,What language does Mani Sharma use?
1188,Q948201,P1412,Q9299,train,Velimir Bata Živojinović,Serbian,3,3,What language does Velimir Bata Živojinović use?
1189,Q102379,P1412,Q1860,train,Paul Berg,English,2,2,What language does Paul Berg use?
1190,Q1232072,P1412,Q9027,train,Jan O. Karlsson,Swedish,2,2,What language does Jan O. Karlsson use?
1191,Q102442,P1412,Q188,train,Burkard Hillebrands,German,2,2,What language does Burkard Hillebrands use?
1192,Q106326,P1412,Q150,train,Jean-Claude Brialy,French,2,2,What language does Jean-Claude Brialy use?
1193,Q1054251,P1412,Q652,train,Claudio Nizzi,Italian,2,2,What language does Claudio Nizzi use?
1194,Q11710959,P1412,Q809,train,Ida Kinalska,Polish,2,2,What language does Ida Kinalska use?
1195,Q132738,P1412,Q1321,train,Alberto Contador,Spanish,2,2,What language does Alberto Contador use?
1196,Q12706,P1412,Q7737,train,Maxim Gorky,Russian,2,2,What language does Maxim Gorky use?
1197,Q1347434,P1412,Q7411,train,Jacob de Gheyn II,Dutch,2,2,What language does Jacob de Gheyn II use?
1198,Q12025039,P1412,Q9056,train,Jiří Bártek,Czech,2,2,What language does Jiří Bártek use?
1199,Q10389048,P1412,Q5146,train,Vanderlan Bolzani,Portuguese,2,2,What language does Vanderlan Bolzani use?
1200,Q1196321,P1412,Q5287,train,Yasutaka Nakata,Japanese,2,2,What language does Yasutaka Nakata use?
1201,Q12188728,P1412,Q13955,train,Al-Shab al-Zarif,Arabic,2,2,What language does Al-Shab al-Zarif use?
1202,Q147220,P1412,Q7850,train,Yuan Mei,Chinese,2,2,What language does Yuan Mei use?
1203,Q160445,P1412,Q397,train,Saint Boniface,Latin,2,2,What language does Saint Boniface use?
1204,Q12331359,P1412,Q9035,train,Per Soelberg Sørensen,Danish,2,2,What language does Per Soelberg Sørensen use?
1205,Q28050827,P1412,Q9129,train,Manolis Kellis,Greek,2,2,What language does Manolis Kellis use?
1206,Q2110167,P1412,Q9063,train,Primož Roglič,Slovene,4,4,What language does Primož Roglič use?
1207,Q19796723,P1412,Q7026,train,Francesc Xavier Avilés i Puigvert,Catalan,4,4,What language does Francesc Xavier Avilés i Puigvert use?
1208,Q1367928,P1412,Q37041,train,Wen Tingyun,Classical Chinese,4,4,What language does Wen Tingyun use?
1209,Q34341156,P1412,Q9176,train,Tae-Kwang Oh,Korean,2,2,What language does Tae-Kwang Oh use?
1210,Q6809653,P1412,Q256,train,Mehmet Toner,Turkish,2,2,What language does Mehmet Toner use?
